APP ID,Date Announced,CIA_Name,Grant Type,Sub Type,Grant Title,Admin Institution,State,Sector,Start Yr,End Yr,Total,Broad Research Area,FOR Category,Field of Research,Res KW1,Res KW2,Res KW3,Res KW4,Res KW5,Plain Description,
1099414,03-Sep-15,Prof Andrew Elefanty,International Collaborations,CIRM - Tools and Technologies Stem Cells Research,A suite of engineered human pluripotent stem cell lines to facilitate the generation of hematopoietic stem cells,Murdoch Childrens Research Institute,VIC,Research,2015,2017,"$881,221",Basic Science,MEDICAL BIOTECHNOLOGY,Regenerative Medicine (incl. Stem Cells and Tissue Engineering),embryonic stem cells,haematopoietic stem cells,cell differentiation,genetic engineering,regenerative medicine,Our goal is to develop tools that address major bottlenecks that have prevented the generation of blood forming stem cells in  culture for therapeutic use. We will generate human embryonic stem cell reporter lines that can be used to monitor key milestones in blood stem cell development. These lines will serve as tools to identify growth conditions to improve the differentiation of pluripotent stem cells to functional blood stem cells.,.
1101313,03-Sep-15,Prof Shyamali Dharmage,International Collaborations,Aust/EU Collaborative Research Grant,Aging Lungs in European Cohorts,University of Melbourne,VIC,University,2015,2018,"$470,342",Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,chronic illness prevention,public health,risk factors,respiratory medicine,epidemiology,"This project will investigate the causes of respiratory disease and poor lung function across the life course. Using existing lung health data from Australia and  Europe, we will determine which behavioral, environmental, occupational, nutritional, other modifiable lifestyle, or genetic factors play a role in lung health. This research will enable the development of a personalised risk predictor application for implementation with patients and health care providers as well as the general public.",.
1101321,03-Sep-15,A/Pr Sharon Goldfeld,International Collaborations,Aust/EU Collaborative Research Grant,Models of Child Health Appraised,Murdoch Childrens Research Institute,VIC,Research,2015,2017,"$321,054",Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Community Child Health,primary school-aged children,health inequalities,health services research,child health,quality improvement,"The European Commission study - Models of Child Health Appraised (MOCHA) will examine the most effective model of primary health care (medical and non-medical) for children. We will complement this work through specific Australian studies on (1) experiences at the primary/secondary care interface, (2) development and testing of paediatric quality measures and (3) determining if and how primary care addresses inequity; ensuring all the results are translatable outside the European context.",.
1101400,03-Sep-15,Prof Melissa Southey,International Collaborations,Aust/EU Collaborative Research Grant,Breast Cancer Risk after Diagnostic Gene Sequencing (BRIDGES),University of Melbourne,VIC,University,2015,2019,"$471,281",Public Health,GENETICS,Genetics not elsewhere classified,breast cancer,breast cancer prevention,predisposition,public health,modelling,"In BRIDGES, we aim to build a knowledge base to better define individual breast cancer risk. We bring together, in a multidisciplinary team, data and expertise from clinical genetics, epidemiology, bioinformatics, statistics, and gene biology. Specifically, we will use state-of-the art DNA screening to evaluate all suspected breast cancer genes in a large sample of breast cancer cases and controls. We will then use in silico and in vitro functional analyses to evaluate the likely pathogenicity o",.
1102158,03-Sep-15,Prof Karlheinz Peter,International Collaborations,Aust/EU Collaborative Research Grant,"Systems biology to identify molecular targets for vascular disease treatment (SysVasc), with a focus on atherosclerotic plaque instability",Baker IDI Heart and Diabetes Institute,VIC,Research,2015,2017,"$450,721",Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),systems biology,cardiovascular,atherosclerosis,proteomics,plaque rupture,"Heart attacks are caused by rupture of atherosclerotic deposits (plaques) in vessel walls, which results in clot formation ultimately causing vessel occlusion. In collaboration with strong European collaborators, we will use modern high-throughput technologies in a large patient cohort as well as in a newly generated mouse model to discover the causative proteins, genes and their regulators. This will allow identifying individuals at risk and developing novel therapies to prevent heart attacks.",.
1102537,03-Sep-15,Prof Richard Sinnott,International Collaborations,Aust/EU Collaborative Research Grant,Application of omics-based strategies for improved diagnosis and treatment of endocrine hypertension,University of Melbourne,VIC,University,2015,2019,"$461,322",Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Cancer Genetics,adrenal endocrinology,adrenal,hypertension,cancer,clinical trial,"Arterial hypertension affects up to 45% of the general population and is responsible for 7.1 million deaths per year  worldwide. We will define specific omics profiles for patients with a range of hypertension-related disorders by integrating high throughput  genetics, genomics and metabolomics data. This should allow identification of patients with preclinical phenotypes along with those hypertensives that cluster into specific endocrine groups who may benefit from personalised treatment.",.
1103599,03-Sep-15,Prof Georgia Chenevix-Trench,International Collaborations,Aust/EU Collaborative Research Grant,Breast CAncer STratification: understanding the determinants of risk and prognosis of molecular subtypes,Queensland Institute of Medical Research,QLD,Research,2015,2019,"$472,984",Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,breast cancer aetiology,breast cancer prevention,gene polymorphisms,mutation detection,markers,"Breast cancer is not one disease, but many different types with different causes, treatments and outcomes. The aim of this project is to use genetic, lifestyle/environmental, mammographic breast density, pathologic and clinical data froma  very large number of studies from all over the world to develop ways of predicting which women are at risk of particuar types of breast cancer, and if breast cancer develops what the likely outcome will be.",.
1103603,03-Sep-15,Prof Nicholas Martin,International Collaborations,Aust/EU Collaborative Research Grant,ACTION - Aggression in Children: Unravelling gene-environment interplay to inform Treatment,Queensland Institute of Medical Research,QLD,Research,2015,2018,"$453,871",Basic Science,GENETICS,Quantitative Genetics (incl. Disease and Trait Mapping Genetics),conduct disorder,mental health,harm minimisation,adolescence,injury prevention,"Aggression inflicts a huge personal, psychological and financial burden on affected individuals, their relatives, and society at large. ACTION will deliver an overarching framework that combines a thorough understanding of pathways leading to aggression with a map of current gaps, best practices on clinical,  ethical, legal, and social issues.",.
1103694,03-Sep-15,A/Pr Martyn Kirk,International Collaborations,Aust/EU Collaborative Research Grant,COMPARE:Collaborative Management Platform for detection and Analyses of (Re-) emerging and foodborne outbreaks in Europe,Australian National University,ACT,University,2015,2019,"$427,959",Public Health,MEDICAL MICROBIOLOGY,Medical Infection Agents (incl. Prions),infectious diseases,outbreak,genomics,food poisoning,salmonella,"COMPARE a large EU project intends to speed up the detection of, and response to disease outbreaks among humans and animals worldwide, through the use of new genome technology and disease-specific information. The aim is to reduce the impact and cost of disease outbreaks. This project allows Australian researchers to participate in this system of detecting and investigating foodborne disease outbreaks that cross international borders.",.
1106016,03-Sep-15,Prof Graham Giles,International Collaborations,Aust/EU Collaborative Research Grant,LIFEPATH: life-course biological pathways underlying social differences in healthy ageing,Cancer Council Victoria,VIC,Other,2015,2018,"$470,466",Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,ageing,socioeconomic status,inflammation,genomics,policy development,"Healthy ageing varies across society due to environmental, behavioural and social circumstances that affect peoples’ lives.  To improve our ability to change this we will investigate suspected biological mechanisms over the life course.  Using repeated blood samples collected during a large prospective study, we will measure a very large number of biological markers and analyse these combined with lifestyle and behavioural information to identify the modifiable predictors of healthy ageing.",.
1097026,19-Oct-15,Dr Fiona Kumfor,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Identifying novel markers to differentiate frontotemporal dementia from Alzheimer's disease,University of New South Wales,NSW,University,2016,2019,"$603,912",Clinical Medicine and Science,PSYCHOLOGY,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)",dementia,diagnosis,emotion,neurophysiology,neuroimaging,"In people under 65 years of age, frontotemporal dementia and Alzheimer's disease are equally common. Distinguishing between these different types of dementia is extremely challenging. Patients can present with similar symptoms, even when the underlying dementia cause (i.e., brain pathology) is different. Inaccurate diagnosis means patients cannot access appropriate treatments, as these become available. I will develop novel tests of social function to improve the diagnosis of dementia syndromes.",.
1097105,19-Oct-15,Dr Belinda Brown,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,The role of intense physical activity in protecting the ageing brain,Edith Cowan University,WA,University,2016,2019,"$600,079",Clinical Medicine and Science,NEUROSCIENCES,Neurosciences not elsewhere classified,physical activity,functional magnetic resonance imaging (fMRI),exercise,Alzheimer disease,dementia,"Previous research supports the notion that physical activity plays a role in maintaining brain health and preventing Alzheimer’s disease. Nevertheless, the type of activity (i.e. intensity of physical activity) that is of greatest benefit to the brain is yet to be established. This project aims to identify the most beneficial exercise intensity, in terms of brain health, measured utilising brain imaging technology.",.
1097185,19-Oct-15,Dr Rajesh Ghai,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Towards Targeting The Endosome In Neurodegenerative Disease,University of Queensland,QLD,University,2016,2019,"$601,959",Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Structural Biology (incl. Macromolecular Modelling),X-ray crystallography,endosomes,membrane trafficking,molecular basis of disease,molecular neuroscience,"Mutations and dysregulation of the SNX27-retromer protein platform are strongly linked to Alzheimer’s disease (AD) and Parkinson’s disease (PD). This research program will determine how SNX27-retromer interacts with key molecules associated with AD and PD, the outcomes of which be significantly improved understanding of how mutations in these proteins cause disease, and a necessary molecular framework for future therapeutic targeting.",.
1097397,19-Oct-15,Dr Ashleigh Smith,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Optimising exercise prescription for brain health in older adults at risk of dementia,University of South Australia,SA,University,2016,2019,"$594,123",Clinical Medicine and Science,NEUROSCIENCES,Central Nervous System,mild cognitive impairment,neuroscience,cognitive function,exercise therapy,ageing,"To reduce dementia burdens in the community, cost effective and targeted early regenerative strategies are critical. Engaging in frequent aerobic exercise is one strategy that can delay the onset and slow the progression of dementia. However, prescription is limited by an incomplete understanding of how exercise positively influences brain health. Here I will investigate the influence of current exercise levels, intensity and exercise environment on brain health in adults at risk of dementia.",.
1097435,19-Oct-15,Dr Kate Laver,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,A telehealth intervention to delay functional decline in community-dwelling people with dementia,Flinders University,SA,University,2016,2019,"$476,399",Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Aged Health Care,dementia care,rehabilitation,functional independence,occupational therapy,telemedicine,Telehealth programs are becoming increasingly popular as a way to increase the accessibility of services and reduce the costs associated with health professionals travelling to the client's home. This project will examine whether an evidence based intervention that delays functional decline can be delivered via videoconferencing and whether this method of delivery is as effective.,.
1097461,19-Oct-15,Dr Alexandra Grubman,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Anti-inflammatory copper complexes for treatment of Alzheimer's Disease,University of Melbourne,VIC,University,2016,2019,"$603,622",Basic Science,NEUROSCIENCES,Cellular Nervous System,neurodegeneration,metal metabolism,neuroinflammation,Alzheimer disease,stem cells,"Brain inflammation and disrupted metabolism of the biologically important metal, copper, play key roles in Alzheimer’s disease (AD) progression. Our team has developed new copper-based therapeutics, but limited knowledge of how they work impedes clinical trials. My recent findings indicate that these drugs potently prevent inflammation. My proposal seeks to understand how copper-complexes reduce damaging inflammatory responses in novel human cell models of AD.",.
1097696,19-Oct-15,Dr Helen Macpherson,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,A multi-faceted intervention to enhance cognition in older people at risk of cognitive decline,Deakin University,VIC,University,2016,2019,"$600,224",Clinical Medicine and Science,PSYCHOLOGY,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)",cognition,cognitive decline,exercise,vitamin D,omega-3 fatty acids,"There is an urgent need to investigate interventions which could reduce the number of people living with dementia in the future. This research aims to improve cognition in older people, experiencing early signs of memory decline, using a multi-modal exercise program combined with dietary supplements. Findings from this research will contribute to primary and secondary dementia prevention approaches.",.
1099245,19-Oct-15,Dr Michael Annear,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Improving Dementia Education Access (the IDEA study) for clinical hospital staff in regional and district hospitals: a cluster randomised study to improve knowledge and patient outcomes.,University of Tasmania,TAS,University,2016,2019,"$599,758",Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Aged Health Care,dementia care,hospitals,rural and remote health services,regional health,education,"This research concerns the evidence-based development, national administration, and systematic evaluation of a targeted online dementia education intervention among clinical staff in regional and district hospitals. The research aims to improve knowledge of dementia among clinical staff, enhance patient outcomes, and reduce costs by addressing four outcome levels: clinical learning needs, learning outcomes, engagement and behaviour change, and organisational performance.",.
1099692,19-Oct-15,Dr Alaa Abdul-Ridha,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Targeting GPCRs to Treat and Prevent Dementia.,University of Melbourne,VIC,University,2016,2019,"$598,912",Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Basic Pharmacology,G protein-coupled receptors,dementia,adrenoceptors,drug discovery,structure-based drug design,"Dementia is the third leading cause of death in Australia and the single greatest cause of disability in the elderly. Current therapies for Alzheimer’s disease (AD), the most common form of dementia, are inadequate and fundamentally new treatment approaches are required. The aim of this proposal is to develop novel drug candidates for the treatment and prevention of AD and other neurodegenerative disorders by targeting a class of cell-surface receptors called G protein-coupled receptors (GPCRs).",.
1100324,19-Oct-15,Dr Kathryn Munro,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Protecting synaptic connectivity in Alzheimer's disease,University of Melbourne,VIC,University,2016,2019,"$573,573",Basic Science,NEUROSCIENCES,Central Nervous System,neuroscience,synaptic plasticity,synapse formation,memory,Alzheimer disease,"In Alzheimer’s disease, connections between neurons (synapses) are progressively damaged. The BACE inhibitor class of drugs entering Phase III clinical trials may slow the pace of neurodegeneration in patients with dementia. However, these drugs may simultaneously have negative effects on synapse function, learning and memory. This study will assess the effect of BACE inhibition on synapse properties and cognition and identify the contribution of key proteins affected by this treatment.",.
1100458,19-Oct-15,Dr Scott Ayton,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Novel mechanisms and diagnostic applications for iron in Alzheimer’s disease,University of Melbourne,VIC,University,2016,2019,"$599,644",Clinical Medicine and Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,dementia,biomarkers,iron,apolipoprotein E,Alzheimer disease,"My recent findings showed that measuring the iron content of the brain, by looking at the fluid surrounding the brain, was useful in predicting the chances of developing Alzheimer’s disease, and predicting the severity of this disease. Here, I will investigate this in more depth, and in new patient groups. The project has the potential to characterise a new way of predicting Alzheimer’s disease, and also will help inform how Alzheimer’s disease develops.",.
1100801,19-Oct-15,Dr Joan Ostaszkiewicz,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,"Develop, evaluate and disseminate a quality measure to manage incontinence in people with dementia in residential aged care facilities",Deakin University,VIC,University,2016,2019,"$573,140",Health Services Research,NURSING,Aged Care Nursing,dementia care,aged care,incontinence,quality of care,nursing homes,"The NMHRC-ARC Dementia Research Fellowship will enable the applicant to develop, evaluate, and disseminate an outcome measure and accompanying resources to assist formal carers in residential aged care facilities deliver optimal continence care to clients with dementia. It builds on her existing research on incontinence in frail older adults, and will provide a way for consumers of residential aged care services, staff and assessors to benchmark and improve the quality of continence care.",.
1100862,19-Oct-15,Dr Yifat Glikmann-Johnston,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Spatial learning and memory in Huntington's disease,Monash University,VIC,University,2016,2019,"$475,969",Clinical Medicine and Science,COGNITIVE SCIENCE,Neurocognitive Patterns and Neural Networks,Huntington's disease,cognitive assessment,memory,neuroimaging,clinical trial,"This project will develop a spatial learning and memory test battery sensitive to dementia in Huntington’s disease, relate the task to atrophy in key brain regions, and then apply the test in a clinical trial aimed at developing a regeneration of damaged brain regions in Huntington’s disease. The overarching goal is to develop a cognitive test that is closely aligned to brain pathology in dementia as a tool for more precise, mechanism-based investigations in the dementia clinical trial setting.",.
1101258,19-Oct-15,Dr Olga Shimoni,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Investigation of zinc dyshomeostasis associated with aging and dementia-related disorders using novel nanodiamond-based markers,University of Technology Sydney,NSW,University,2016,2019,"$604,644",Basic Science,MEDICAL BIOTECHNOLOGY,Medical Biotechnology Diagnostics (incl. Biosensors),nanotechnology,biomarkers,synapse,zinc deficiency,drug delivery systems,This project will illuminate the fundamental brain changes that lead to age-related cognitive decline by means of newly developed biamarker based on fluorescent nanodiamonds. The expected outcome of this work will be a unique approach to  elucidate the source of cognitive decline that will fill a significant unmet need within the community.,.
1101788,19-Oct-15,Dr Lisa Kalisch Ellett,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,"Medicine-associated dementia and cognitive impairment: identifying the problem, reducing the harm",University of South Australia,SA,University,2016,2019,"$513,116",Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,health promotion,adverse effects,quality use,pharmacoepidemiology,dementia,"Several studies have shown an association between use of anticholinergic or sedative medicines and increased risk of dementia. Questions remain about whether these medicines cause dementia (or are just used by people already at risk), whether or not cognitive function improves if the medicines are stopped or if the dose is reduced, and the characteristics of patients most likely to use these medicines. This program of research aims to answer these questions.",.
1101865,19-Oct-15,Dr Kate-Ellen Elliott,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Work4Dementia: Development of an evidence-based intervention to build capacity and resilience for the Australian dementia care workforce,University of Tasmania,TAS,University,2016,2019,"$595,220",Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Aged Health Care,dementia care,health services research,capacity building,resilience,gerontology,The care workforce is rapidly approaching a staffing crisis associated with the dementia epidemic. An innovative evidence-based intervention (Work4Dementia) aimed to build the capacity and resilience of the dementia care workforce will be developed and tested. Strategies will apply psychological approaches to enhance opportunities for meaningful social interactions at work. It is envisaged this will avert poor quality care stemming from an unstable workforce due to employees leaving their jobs.,.
1102028,19-Oct-15,Dr Moyra Mortby,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,BPSD-CARE: A person-centred approach to managing behavioural and psychological symptoms of dementia in residential care,Australian National University,ACT,University,2016,2019,"$600,627",Clinical Medicine and Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,dementia care,caregivers,allied health,residential care,mental health services,"In residential aged care many people with dementia experience disturbing behavioural problems such as wandering, aggression or sleep disturbance. Not only the person with dementia but also other residents, family and staff find these symptoms disturbing. This study will adapt and trial a structured staff training program from Sweden to reduce behavioural problems in people with dementia, improve wellbeing for the person with dementia and give staff better skills to care for residents.",.
1102272,19-Oct-15,Dr Mitchell Goldsworthy,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Combined TMS-EEG for early diagnosis of Alzheimer’s disease,University of Adelaide,SA,University,2016,2019,"$603,767",Basic Science,NEUROSCIENCES,Central Nervous System,Alzheimer disease,brain ageing,transcranial magnetic stimulation (TMS),cortical plasticity,connectivity,"Early diagnosis of Alzheimer's disease is key to more effective early intervention. Current biomarkers are expensive and are not suited for detecting the subtle changes in brain function that occur during the initial stages of the disease. Non-invasive brain stimulation is pain-free and inexpensive, and can directly probe brain function in conscious humans. This project will investigate whether these techniques might be used to identify markers of early brain dysfunction in Alzheimer’s disease.",.
1102462,19-Oct-15,A/Pr Lisbeth Evered,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,"Predicting perioperative cognitive disorders in the elderly based on cardiovascular risk, AD risk and new biomarkers",University of Melbourne,VIC,University,2016,2019,"$471,826",Clinical Medicine and Science,NEUROSCIENCES,Neurosciences not elsewhere classified,dementia-related decline in memory,population health,biomarkers,prevention,early diagnosis,"Anaesthesia and surgery are common in the elderly and are known to lead to memory and thinking problems. Why this happens is unclear. I plan to study confusion, memory and thinking problems before and after surgery and to determine if blood or cerebrospinal fluid tests or modifying cardiovascular disease can predict this happening. This work will lead to early identification of people who are at risk of cognitive problems following anaesthesia and surgery, and ways to prevent this happening.",.
1102532,19-Oct-15,Ms Genevieve Steiner,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,"An investigation into the neural substrates of cognitive deficits in Mild Cognitive Impairment, and the mechanisms of action of a novel treatment",University of Western Sydney,NSW,University,2016,2019,"$574,644",Clinical Medicine and Science,PSYCHOLOGY,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)",mild cognitive impairment,cognitive neuroscience,complementary medicine,mechanisms,neuropsychology,"Furthering our understanding of the brain mechanisms that underlie the deficits in memory, executive function, and language that occur with Mild Cognitive Impairment is vital for conceptualising the underlying disease processes, and for the development of targeted treatments. Hence, this project will conduct a comprehensive assessment of the brain’s electrical and metabolic responses during specialised cognitive tasks, whilst simultaneously investigating a possible treatment.",.
1102821,19-Oct-15,Dr Miguel Renteria Rodriguez,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Uncovering the Function of Susceptibility Variants in Alzheimer's Disease: From GWAS to Cell-Type Specific eQTLs and mQTLs,Queensland Institute of Medical Research,QLD,Research,2016,2019,"$647,804",Basic Science,GENETICS,Neurogenetics,gene expression,DNA methylation,bioinformatics,Alzheimer disease,ageing,"This project will investigate some of the genetic and epigenetic changes that occur inside certain brain cells that make them selectively vulnerable to Alzheimer's disease, in order to better understand the mechsnisms that give origin to the disease and identify possible targets for precision therapies.",.
